network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
185.220.101.0/24,727011,727011,,1,0,1000,42.6977,23.3219,20
185.220.100.0/24,2925533,2925533,,1,0,60311,50.1109,8.6821,20
194.26.29.0/24,2759794,2759794,,1,0,1012,52.3676,4.9041,20
89.144.20.0/24,683506,683506,,0,0,010011,44.4268,26.1025,20
81.18.87.0/24,756135,756135,,0,0,00-001,52.2297,21.0122,25
198.51.100.0/24,4852924,4852924,,0,0,51501,41.2619,-95.8608,10
8.8.8.0/24,5375480,5375480,,0,0,94043,37.4223,-122.0848,5
1.1.1.0/24,5391959,5391959,,0,0,94107,37.7749,-122.4194,5
52.0.0.0/8,4744870,4744870,,0,0,20147,39.0438,-77.4874,50
54.0.0.0/8,5809844,5809844,,0,0,98101,47.6062,-122.3321,50
40.0.0.0/8,5808079,5808079,,0,0,98052,47.6740,-122.1215,50
20.0.0.0/8,4853828,4853828,,0,0,50309,41.5868,-93.6250,50
104.244.42.0/24,5391959,5391959,,0,0,94103,37.7749,-122.4194,10
157.240.0.0/16,5372223,5372223,,0,0,94025,37.4529,-122.1817,10
17.0.0.0/8,5341145,5341145,,0,0,95014,37.3230,-122.0322,10
185.199.108.0/22,5391959,5391959,,0,0,94107,37.7749,-122.4194,15
